value1;value2;value3;
207;43;3835;
208;268;8862;
209;309;7854;
210;436;5878;
211;71;4544;
212;645;4387;
213;846;3253;
214;194;9822;
215;629;1895;
216;544;3470;
217;672;1551;
218;473;9586;
219;668;1721;
220;101;4598;
221;475;3751;
222;616;3045;
223;548;4421;
224;142;4972;
225;238;9668;
226;794;4823;
227;892;7925;
228;70;3194;
229;332;1027;
230;165;2798;
231;762;7501;
232;116;9190;
233;650;9359;
234;327;8700;
235;83;3085;
236;793;1997;
237;878;6172;
238;99;3182;
239;542;8284;
240;829;4394;
241;561;933;
242;866;729;
243;556;1260;
244;581;6846;
245;926;7987;
246;778;2749;
247;219;4571;
248;608;2759;
249;16;4246;
250;266;7187;
251;254;6925;
252;132;7595;
253;23;9819;
254;555;3376;
255;414;1028;
256;717;3179;
257;835;7974;
258;288;2754;
259;724;8618;
260;583;3347;
261;415;5591;
262;542;6271;
263;587;1652;
264;638;9942;
265;599;4615;
266;868;3163;
267;98;3870;
268;292;5251;
269;466;8713;
270;452;4240;
271;992;7538;
272;947;6612;
273;376;6235;
274;248;5317;
275;734;4883;
276;934;2828;
277;740;740;
278;741;3945;
279;968;4412;
280;92;9446;
281;114;6597;
282;458;3958;
283;347;1395;
284;637;1610;
285;321;8234;
286;73;64;
287;520;6042;
288;642;5401;
289;931;5416;
290;645;7877;
291;847;7818;
292;792;4622;
293;704;1678;
294;682;3245;
295;532;8887;
296;845;9820;
297;758;5302;
298;544;2809;
299;574;2641;
300;433;2580;
301;803;4146;
302;592;4646;
303;386;8767;
304;942;4334;
305;648;8577;
306;492;6761;
307;211;9155;
308;408;4332;
309;623;2697;
310;515;2673;
311;453;8458;
312;966;924;
313;358;1068;
314;450;4041;
315;613;827;
316;790;4500;
317;306;1077;
318;323;3701;
319;114;6165;
320;588;2774;
321;108;2826;
322;417;7330;
323;143;4083;
324;123;7883;
325;423;5689;
326;674;7032;
327;950;25;
328;969;6954;
329;319;2684;
330;499;6809;
331;213;8261;
332;919;2127;
333;210;1719;
334;343;1233;
335;573;7728;
336;191;6678;
337;42;8694;
338;632;1989;
339;245;5293;
340;668;7327;
341;945;9554;
342;364;5814;
343;579;5670;
344;85;2969;
345;236;2906;
346;57;4509;
347;619;4;
348;641;1305;
349;160;76;
350;176;9918;
351;149;7317;
352;355;9617;
353;600;2731;
354;669;6519;
355;675;5301;
356;71;5644;
357;196;6455;
358;780;4623;
359;583;5416;
360;979;8637;
361;602;6346;
362;694;4633;
363;377;6715;
364;383;7637;
365;368;2599;
366;897;2608;
367;87;3192;
368;708;4636;
369;943;5259;
370;859;6954;
371;243;9808;
372;816;7637;
373;90;7822;
374;88;9575;
375;840;3568;
376;792;9004;
377;772;6144;
378;102;5105;
379;549;2975;
380;365;9720;
381;973;1614;
382;72;5148;
383;735;4444;
384;855;4043;
385;157;1356;
386;119;9268;
387;482;145;
388;252;8062;
389;543;3417;
390;362;2979;
391;105;3460;
392;929;9768;
393;895;7472;
394;839;7546;
395;729;3971;
396;279;4854;
397;724;3923;
398;583;9492;
399;418;3077;
400;55;33;
401;374;7808;
402;421;7704;
403;141;8653;
404;254;2333;
405;128;286;
406;935;7526;
407;966;376;
408;617;8646;
409;174;8878;
410;163;2422;
411;827;6715;
412;914;3778;
413;896;764;
414;59;6126;
415;754;5063;
416;472;4195;
417;373;2476;
418;441;7930;
419;582;9495;
420;250;9732;
421;656;7471;
422;299;1636;
423;99;6382;
424;469;5833;
425;910;5053;
426;303;8299;
427;189;9628;
428;400;1537;
429;462;8347;
430;895;1501;
431;69;2583;
432;743;7029;
433;535;5988;
434;22;479;
435;675;516;
436;389;2040;
437;980;1425;
438;353;6961;
439;468;781;
440;48;7846;
441;339;8387;
442;279;9580;
443;357;297;
444;336;2903;
445;921;9877;
446;169;7477;
447;485;2665;
448;631;5274;
449;727;7596;
450;578;6297;
451;935;3367;
452;305;1964;
453;368;7320;
454;383;9873;
455;181;2326;
456;661;8577;
457;560;994;
458;631;8093;
459;461;663;
460;947;1095;
461;142;5326;
462;795;9306;
463;56;5808;
464;372;3847;
465;546;1608;
466;599;14;
467;749;5492;
468;965;4149;
469;263;5512;
470;671;520;
471;50;5311;
472;699;1021;
473;841;7296;
474;578;8706;
475;675;8617;
476;655;8358;
477;568;2682;
478;226;9393;
479;744;6672;
480;330;8416;
481;435;684;
482;866;593;
483;971;3216;
484;578;4231;
485;805;2149;
486;326;6682;
487;399;2012;
488;427;7167;
489;419;9903;
490;918;2560;
491;698;8787;
492;919;5367;
493;84;5197;
494;506;7708;
495;387;6510;
496;750;6104;
497;511;3356;
498;950;4294;
499;476;6558;
500;302;2357;
501;624;2099;
502;615;4380;
503;576;8864;
504;211;4907;
505;506;7812;
506;461;9609;
507;957;682;
508;719;5072;
509;189;107;
510;103;689;
511;339;365;
512;187;5076;
513;617;7467;
514;177;6913;
515;739;4338;
516;659;7332;
517;73;2502;
518;512;7873;
519;121;1839;
520;430;7572;
521;89;4259;
522;507;6083;
523;666;1425;
524;603;6434;
525;184;519;
526;692;3267;
527;678;5201;
528;613;3064;
529;382;6079;
530;581;2790;
531;958;3713;
532;800;1704;
533;414;4994;
534;579;6285;
535;470;8254;
536;57;7919;
537;165;1472;
538;750;433;
539;644;5981;
540;144;7076;
541;776;2551;
542;942;4662;
543;327;5375;
544;441;9495;
545;618;4698;
546;567;4985;
547;200;9998;
548;774;1124;
549;899;5722;
550;885;1508;
551;779;6832;
552;46;960;
553;889;7791;
554;488;8663;
555;831;7249;
556;553;4872;
557;178;93;
558;729;142;
559;625;7274;
560;626;2790;
561;848;978;
562;915;9391;
563;565;7278;
564;299;877;
565;499;3220;
566;258;2730;
567;397;3385;
568;795;9482;
569;218;7092;
570;998;6393;
571;382;5537;
572;339;3043;
573;90;4831;
574;705;9375;
575;994;5079;
576;876;1257;
577;700;7625;
578;892;6491;
579;840;2004;
580;946;7751;
581;435;4066;
582;694;3187;
583;822;8270;
584;131;3010;
585;227;9763;
586;620;4763;
587;695;1682;
588;897;5144;
589;523;5775;
590;57;3198;
591;333;25;
592;107;5635;
593;723;356;
594;960;2465;
595;943;213;
596;407;837;
597;158;1817;
598;444;708;
599;187;6754;
600;59;3916;
601;457;7743;
602;462;1314;
603;773;8343;
604;86;5309;
605;49;6626;
606;863;3581;
607;701;3620;
608;300;7817;
609;953;4727;
610;281;6997;
611;317;6660;
612;543;2140;
613;321;4669;
614;681;6016;
615;576;3994;
616;110;6971;
617;935;174;
618;8;5648;
619;764;8853;
620;25;9331;
621;650;8317;
622;981;130;
623;608;8013;
624;730;4047;
625;721;5990;
626;587;5963;
627;62;2293;
628;797;2592;
629;311;6386;
630;489;5771;
631;106;1849;
632;448;7940;
633;746;9586;
634;693;4539;
635;488;7759;
636;579;5473;
637;983;8306;
638;655;1536;
639;521;2072;
640;937;3352;
641;399;3365;
642;276;695;
643;430;6221;
644;861;4228;
645;717;1372;
646;304;9593;
647;139;5028;
648;213;9258;
649;757;4929;
650;442;2758;
651;301;1626;
652;898;2585;
653;910;9654;
654;787;6395;
655;524;3799;
656;901;4105;
657;257;3816;
658;487;2254;
659;345;1551;
660;243;8589;
661;359;7599;
662;569;9246;
663;784;8942;
664;226;7331;
665;485;7965;
666;523;6997;
667;783;4361;
668;937;656;
669;787;492;
670;75;6151;
671;717;1041;
672;843;3110;
673;376;3635;
674;839;8626;
675;883;6672;
676;140;9519;
677;248;4623;
678;322;2622;
679;710;9595;
680;802;7984;
681;806;2859;
682;955;2812;
683;818;8080;
684;909;9497;
685;953;3274;
686;133;8345;
687;240;535;
688;46;2690;
689;394;6953;
690;913;457;
691;592;275;
692;155;429;
693;820;6624;
694;677;4478;
695;479;9904;
696;985;5304;
697;411;9007;
698;240;8176;
699;850;4164;
700;8;6329;
701;405;8067;
702;3;6579;
703;209;3247;
704;715;2322;
705;171;304;
706;553;6182;
707;252;1948;
708;732;3132;
709;96;2421;
710;671;1024;
711;545;624;
712;779;7677;
713;280;6365;
714;692;1123;
715;123;6072;
716;488;5972;
717;954;1034;
718;929;7147;
719;924;8172;
720;572;841;
721;590;3978;
722;818;1101;
723;995;8272;
724;436;9376;
725;352;516;
726;411;8570;
727;70;415;
728;37;52;
729;66;9305;
730;100;8475;
731;209;3296;
732;712;877;
733;869;7909;
734;549;9540;
735;173;2419;
736;775;4140;
737;280;3084;
738;858;6803;
739;810;3538;
740;534;7596;
741;831;7455;
742;879;6015;
743;932;642;
744;978;8689;
745;453;3911;
746;284;6763;
747;465;6129;
748;965;121;
749;409;2646;
750;553;7394;
751;864;583;
752;455;6271;
753;997;1883;
754;667;6282;
755;531;8807;
756;486;3189;
757;913;5820;
758;741;4099;
759;493;4717;
760;143;3191;
761;356;2043;
762;271;1655;
763;421;750;
764;482;2828;
765;843;4722;
766;74;5081;
767;977;3229;
768;169;4022;
769;519;1337;
770;194;360;
771;611;7346;
772;32;8718;
773;27;8109;
774;522;3098;
775;615;2994;
776;862;6443;
777;100;4248;
778;138;6755;
779;810;540;
780;347;8665;
781;247;670;
782;668;3790;
783;564;4536;
784;496;8676;
785;85;6299;
786;850;6143;
787;742;9223;
788;297;220;
789;961;1319;
790;674;9033;
791;677;2343;
792;613;4528;
793;24;3092;
794;170;7251;
795;764;4878;
796;556;6421;
797;896;604;
798;59;8787;
799;365;7420;
800;320;2190;
801;105;9685;
802;185;5029;
803;609;3355;
804;620;9795;
805;918;126;
806;760;2914;
807;538;9376;
808;31;3611;
809;716;4385;
810;104;2124;
811;520;9833;
812;242;596;
813;90;881;
814;498;6990;
815;864;398;
816;429;6775;
817;535;9803;
818;681;3565;
819;14;4113;
820;221;1719;
821;87;7926;
822;490;3915;
823;628;9296;
824;737;2336;
825;382;8020;
826;635;9313;
827;424;7968;
828;767;3369;
829;514;8097;
830;294;1249;
831;569;8273;
832;795;7140;
833;236;7376;
834;423;1148;
835;210;1614;
836;649;1067;
837;135;6611;
838;322;3815;
839;798;7467;
840;989;1186;
841;183;226;
842;877;8501;
843;801;5575;
844;282;8105;
845;491;32;
846;123;3058;
847;437;5642;
848;655;5321;
849;276;1258;
850;463;2468;
851;882;9525;
852;243;7748;
853;683;5961;
854;645;5370;
855;363;2950;
856;706;3590;
857;374;7309;
858;444;638;
859;288;9971;
860;252;2008;
861;907;9825;
862;933;213;
863;150;9500;
864;492;8985;
865;410;188;
866;828;8555;
867;808;1835;
868;735;2101;
869;238;6235;
870;158;5480;
871;913;292;
872;993;9648;
873;397;826;
874;786;351;
875;855;7735;
876;699;4777;
877;835;4394;
878;392;9244;
879;913;2907;
880;767;4089;
881;490;9593;
882;884;1619;
883;129;4435;
884;273;2259;
885;517;5103;
886;715;3350;
887;763;4106;
888;695;1476;
889;720;6941;
890;195;1581;
891;12;9496;
892;706;2769;
893;841;2429;
894;743;8220;
895;507;3292;
896;83;4781;
897;122;2551;
898;497;4034;
899;218;4849;
900;286;1314;
901;284;1288;
902;310;6966;
903;605;7435;
904;585;9285;
905;756;4505;
906;77;8810;
907;745;8361;
908;37;1988;
909;929;8400;
910;631;6202;
911;558;4386;
912;564;9417;
913;947;1320;
914;800;3819;
915;573;7594;
916;953;5302;
917;109;8905;
918;884;9166;
919;619;3723;
920;82;4743;
921;804;2740;
922;466;4220;
923;644;9358;
924;33;8213;
925;862;7077;
926;740;1177;
927;79;9282;
928;614;8288;
929;3;7633;
930;701;8722;
931;736;1329;
932;222;994;
933;471;7703;
934;33;2961;
935;833;815;
936;863;352;
937;29;9521;
938;231;7734;
939;239;5356;
940;609;1625;
941;437;8657;
942;978;2893;
943;275;9823;
944;998;4886;
945;478;3430;
946;99;4236;
947;629;9882;
948;305;3562;
949;892;3862;
950;768;9971;
951;131;442;
952;51;7042;
953;755;3731;
954;464;2987;
955;512;8454;
956;721;2084;
957;473;9817;
958;676;3226;
959;740;6173;
960;134;6993;
961;407;3995;
962;447;9131;
963;106;4122;
964;439;3236;
965;296;6827;
966;191;5544;
967;213;1377;
968;945;626;
969;313;3760;
970;665;1602;
971;41;3393;
972;861;1609;
973;759;4415;
974;80;8740;
975;104;7313;
976;68;5763;
977;19;6260;
978;717;2357;
979;34;5812;
980;883;2642;
981;56;4808;
982;968;6852;
983;963;1847;
984;280;8099;
985;747;2762;
986;653;1612;
987;376;8192;
988;258;9405;
989;66;9320;
990;384;7135;
991;465;6174;
992;820;3824;
993;661;1141;
994;361;3677;
995;288;2445;
996;946;441;
997;672;5377;
998;208;5916;
999;417;7505;
1000;713;3866;
1001;14;887;
1002;274;1502;
1003;104;9511;
1004;531;6787;
1005;767;3400;
1006;896;8592;
1007;757;9481;
1008;945;2318;
1009;730;8338;
1010;975;4855;
1011;826;8520;
1012;838;3884;
1013;835;4860;
1014;66;2898;
1015;323;8401;
1016;322;7579;
1017;206;8985;
1018;642;8269;
1019;84;779;
1020;388;1009;
1021;225;9058;
1022;734;8298;
1023;902;2101;
1024;423;7759;
1025;886;702;
1026;66;4583;
1027;11;5098;
1028;205;2128;
1029;198;9036;
1030;228;2444;
1031;469;8126;
1032;750;7305;
1033;102;1861;
1034;665;1211;
1035;794;3151;
1036;370;8984;
1037;325;3164;
1038;412;4816;
1039;826;3398;
1040;922;8791;
1041;212;6479;
1042;768;2065;
1043;542;9446;
1044;186;9417;
1045;284;8181;
1046;768;9469;
1047;195;3705;
1048;170;3497;
1049;451;1247;
1050;925;6110;
1051;309;3832;
1052;760;3567;
1053;943;4169;
1054;976;8696;
1055;276;2689;
1056;926;2764;
1057;664;4759;
1058;947;3529;
1059;417;1072;
1060;802;9962;
1061;810;5178;
1062;3;5161;
1063;377;3896;
1064;256;3695;
1065;96;5611;
1066;768;3241;
1067;977;8985;
1068;474;6072;
1069;146;8748;
1070;779;8678;
1071;959;3050;
1072;888;3136;
1073;279;572;
1074;375;7268;
1075;839;3389;
1076;168;7160;
1077;683;3505;
1078;17;4324;
1079;539;4847;
1080;214;9790;
1081;554;4157;
1082;656;2128;
1083;969;9542;
1084;596;5944;
1085;690;8155;
1086;460;3676;
1087;961;7875;
1088;763;8471;
1089;740;3312;
1090;298;9029;
1091;332;6352;
1092;848;6391;
1093;228;7340;
1094;822;9283;
1095;141;3889;
1096;871;2507;
1097;900;5080;
1098;295;1208;
1099;411;6068;
1100;651;7491;
1101;836;6792;
1102;502;3311;
1103;541;9314;
1104;644;9559;
1105;876;1032;
1106;238;6752;
1107;44;2717;
1108;870;9450;
1109;736;8720;
1110;901;5128;
1111;700;9074;
1112;176;2905;
1113;867;6946;
1114;505;5859;
1115;498;4758;
1116;874;5644;
1117;164;6984;
1118;396;7732;
1119;735;523;
1120;645;2706;
1121;867;6312;
1122;616;2009;
1123;491;9993;
1124;583;9734;
1125;780;5186;
1126;275;585;
1127;674;4951;
1128;708;7454;
1129;378;1613;
1130;524;5943;
1131;250;5201;
1132;757;8791;
1133;877;7727;
1134;643;6926;
1135;634;7905;
1136;540;4684;
1137;620;9876;
1138;124;9972;
1139;957;2360;
1140;877;6351;
1141;259;5284;
1142;412;8457;
1143;836;6787;
1144;295;9308;
1145;462;4063;
1146;554;887;
1147;791;5624;
1148;113;6042;
1149;475;6801;
1150;807;4865;
1151;764;2584;
1152;68;1274;
1153;620;5664;
1154;278;9605;
1155;630;6397;
1156;959;9112;
1157;322;9979;
1158;660;4396;
1159;871;218;
1160;997;327;
1161;194;938;
1162;592;5094;
1163;965;7200;
1164;944;7095;
1165;491;9826;
1166;947;1249;
1167;192;4693;
1168;682;976;
1169;830;1888;
1170;193;4273;
1171;690;4076;
1172;14;5974;
1173;852;9210;
1174;710;7014;
1175;397;8273;
1176;435;1188;
1177;371;4099;
1178;498;907;
1179;536;8540;
1180;840;1011;
1181;129;7014;
1182;165;4434;
1183;330;4059;
1184;153;9618;
1185;127;4488;
1186;594;8922;
1187;541;5913;
1188;248;1356;
1189;238;7191;
1190;160;5499;
1191;763;4892;
1192;652;1287;
1193;917;5727;
1194;747;7415;
1195;372;3840;
1196;877;6641;
1197;264;8753;
1198;519;5608;
1199;526;1950;
1200;93;4723;
1201;602;9275;
1202;637;7686;
1203;531;6921;
1204;760;560;
1205;356;6373;
1206;820;1280;
1207;782;285;
1208;100;3092;
1209;907;6672;
1210;841;6703;
1211;805;2977;
1212;97;6678;
1213;629;3478;
1214;766;2392;
1215;48;5571;
1216;322;2536;
1217;60;1887;
1218;22;8056;
1219;984;2592;
1220;322;6004;
1221;889;7448;
1222;295;2600;
1223;120;1035;
1224;384;1822;
1225;145;1643;
1226;166;8776;
1227;31;2546;
1228;746;6886;
1229;315;6139;
1230;414;4501;
1231;692;7262;
1232;333;340;
1233;16;4662;
1234;513;5476;
1235;608;513;
1236;579;3212;
1237;105;1667;
1238;12;3142;
1239;991;5543;
1240;362;9450;
1241;836;6819;
1242;335;1204;
1243;446;5207;
1244;428;2468;
1245;335;1650;
1246;242;4371;
1247;710;5505;
1248;489;4957;
1249;483;4037;
1250;97;3567;
1251;567;1072;
1252;678;5789;
1253;729;5548;
1254;409;9104;
1255;957;9767;
1256;848;9563;
1257;680;8894;
1258;32;41;
1259;151;8213;
1260;369;6229;
1261;852;9073;
1262;200;8902;
1263;434;7938;
1264;546;8420;
1265;88;1217;
1266;315;9355;
1267;281;145;
1268;215;2971;
1269;157;3429;
1270;624;9369;
1271;408;190;
1272;702;7495;
1273;8;8303;
1274;108;6522;
1275;204;1999;
1276;615;3741;
1277;655;3354;
1278;410;7922;
1279;684;7109;
1280;388;7136;
1281;668;8892;
1282;115;1438;
1283;186;9930;
1284;834;2522;
1285;936;4995;
1286;646;7654;
1287;427;593;
1288;182;5775;
1289;176;9290;
1290;177;2204;
1291;402;3370;
1292;25;4768;
1293;524;2386;
1294;317;251;
1295;336;2701;
1296;900;3619;
1297;746;171;
1298;229;3962;
1299;335;7292;
1300;380;5261;
1301;423;9834;
1302;375;2473;
1303;977;2419;
1304;462;4858;
1305;166;642;
1306;817;4481;
1307;989;8873;
1308;91;6417;
1309;910;813;
1310;660;8246;
1311;634;7454;
1312;941;9010;
1313;823;978;
1314;484;2725;
1315;434;269;
1316;296;7641;
1317;53;5198;
1318;726;840;
1319;208;8121;
1320;913;8346;
1321;139;5020;
1322;41;5134;
1323;58;4529;
1324;674;3364;
1325;89;9023;
1326;221;2645;
1327;702;8733;
1328;811;4528;
1329;903;69;
1330;582;5202;
1331;192;5600;
1332;282;7841;
1333;15;3379;
1334;656;4245;
1335;459;1750;
1336;868;4308;
1337;398;3421;
1338;244;4536;
1339;419;3861;
1340;201;1567;
1341;458;780;
1342;282;5902;
1343;689;6365;
1344;523;2755;
1345;141;4279;
1346;397;934;
1347;806;890;
1348;663;6266;
1349;144;1469;
1350;282;7558;
1351;757;7806;
1352;490;8395;
1353;48;2951;
1354;432;8194;
1355;277;4169;
1356;732;5524;
1357;5;7800;
1358;864;1348;
1359;589;723;
1360;560;684;
1361;717;7870;
1362;565;2195;
1363;582;510;
1364;193;4024;
1365;261;2624;
1366;917;2910;
1367;836;294;
1368;951;4932;
1369;368;9615;
1370;391;2480;
1371;317;2050;
1372;487;4439;
1373;685;8503;
1374;619;5307;
1375;631;9906;
1376;94;7074;
1377;828;6973;
1378;892;2191;
1379;581;7888;
1380;526;1343;
1381;857;4992;
1382;512;146;
1383;931;8961;
1384;663;8739;
1385;935;7113;
1386;958;8102;
1387;125;8915;
1388;351;8286;
1389;510;3709;
1390;958;1400;
1391;636;6094;
1392;633;3319;
1393;438;4615;
1394;572;9196;
1395;224;7077;
1396;42;1266;
1397;225;4976;
1398;590;3076;
1399;342;3988;
1400;686;6940;
1401;700;4425;
1402;601;6536;
1403;370;8465;
1404;727;9114;
1405;653;29;
1406;383;6029;
1407;62;4780;
1408;942;6992;
1409;150;4369;
1410;707;7152;
1411;321;8816;
1412;408;4102;
1413;752;2758;
1414;754;3369;
1415;57;562;
1416;377;4082;
1417;929;6579;
1418;19;6779;
1419;625;6047;
1420;723;3218;
1421;798;5741;
1422;392;9712;
1423;146;7631;
1424;576;7840;
1425;841;7408;
1426;683;1262;
1427;430;470;
1428;267;8094;
1429;139;2020;
1430;593;3766;
1431;743;6495;
1432;507;2777;
1433;330;3259;
1434;305;5185;
1435;164;5377;
1436;392;3944;
1437;620;2591;
1438;470;4051;
1439;893;940;
1440;747;6444;
1441;930;886;
1442;272;5706;
1443;865;4106;
1444;66;5439;
1445;598;5711;
1446;199;8926;
1447;86;8784;
1448;441;7655;
1449;708;9780;
1450;64;3744;
1451;305;4444;
1452;241;4545;
1453;516;6312;
1454;612;5500;
1455;337;4182;
1456;452;5464;
1457;245;552;
1458;176;3401;
1459;856;9265;
1460;534;877;
1461;507;9532;
1462;31;3845;
1463;137;8616;
1464;966;1998;
1465;10;9556;
1466;145;1435;
1467;715;5123;
1468;562;5201;
1469;753;6844;
1470;208;6654;
1471;147;8625;
1472;686;711;
1473;64;8458;
1474;573;1645;
1475;894;7646;
1476;373;2795;
1477;521;6045;
1478;694;5311;
1479;844;6396;
1480;590;1474;
1481;226;8797;
1482;699;7670;
1483;429;8331;
1484;919;4667;
1485;816;4431;
1486;812;8798;
1487;184;8754;
1488;165;8462;
1489;372;2064;
1490;604;9820;
1491;630;2357;
1492;2;4334;
1493;362;6519;
1494;281;5520;
1495;467;5903;
1496;253;5961;
1497;245;8245;
1498;185;8821;
1499;917;183;
1500;509;5284;
1501;932;3669;
1502;53;1038;
1503;930;4684;
1504;781;3537;
1505;200;3982;
1506;81;9193;
1507;566;27;
1508;41;5114;
1509;75;7982;
1510;642;493;
1511;298;4949;
1512;279;213;
1513;929;2670;
1514;182;5069;
1515;14;3691;
1516;31;9648;
1517;442;6130;
1518;247;7172;
1519;15;4692;
1520;211;6323;
1521;350;280;
1522;720;440;
1523;336;3955;
1524;623;8371;
1525;783;8821;
1526;453;648;
1527;789;707;
1528;857;4522;
1529;618;9981;
1530;799;208;
1531;907;524;
1532;785;1842;
1533;589;7290;
1534;845;1842;
1535;938;7789;
1536;778;6921;
1537;722;8609;
1538;844;8557;
1539;202;5409;
1540;375;1548;
1541;970;4194;
1542;208;5367;
1543;280;461;
1544;222;6926;
1545;363;9046;
1546;648;964;
1547;938;6541;
1548;816;1023;
1549;730;1217;
1550;541;7950;
1551;662;7356;
1552;358;9175;
1553;633;4895;
1554;370;1020;
1555;911;7850;
1556;941;3113;
1557;441;7272;
1558;421;5117;
1559;968;8917;
1560;851;7155;
1561;145;3597;
1562;124;2908;
1563;94;5507;
1564;687;7802;
1565;629;1194;
1566;145;2539;
1567;121;5636;
1568;20;880;
1569;718;660;
1570;374;6985;
1571;339;7538;
1572;526;6480;
1573;560;5706;
1574;457;7438;
1575;991;2833;
1576;410;509;
1577;567;8374;
1578;721;348;
1579;82;4817;
1580;122;5816;
1581;41;2827;
1582;830;4877;
1583;990;9417;
1584;631;8473;
1585;838;5398;
1586;660;7849;
1587;746;1531;
1588;508;5683;
1589;242;2174;
1590;992;5215;
1591;762;8421;
1592;721;3218;
1593;185;4997;
1594;121;8360;
1595;340;9403;
1596;757;1373;
1597;794;2134;
1598;256;4777;
1599;264;5631;
1600;499;9654;
1601;269;3095;
1602;783;735;
1603;399;9371;
1604;661;3574;
1605;100;4598;
1606;93;1506;
1607;949;2548;
1608;476;1492;
1609;501;78;
1610;385;7844;
1611;319;2118;
1612;53;8413;
1613;581;6001;
1614;594;5809;
1615;221;1660;
1616;516;490;
1617;190;3932;
1618;669;2399;
1619;872;9446;
1620;509;2591;
1621;633;3287;
1622;110;188;
1623;52;2130;
1624;781;1255;
1625;917;5892;
1626;84;2725;
1627;767;5125;
1628;133;4251;
1629;118;3278;
1630;89;7003;
1631;768;2977;
1632;447;5994;
1633;405;7305;
1634;736;9709;
1635;464;5391;
1636;102;1808;
1637;814;1270;
1638;709;6930;
1639;804;3668;
1640;834;4961;
1641;973;9517;
1642;656;6525;
1643;120;6829;
1644;785;8748;
1645;256;818;
1646;273;2137;
1647;237;4564;
1648;15;3290;
1649;527;8258;
1650;677;7837;
1651;835;7178;
1652;646;4685;
1653;831;7077;
1654;23;2199;
1655;695;1917;
1656;582;4739;
1657;122;1819;
1658;999;2034;
1659;758;5217;
1660;574;7091;
1661;167;6513;
1662;366;3873;
1663;807;1416;
1664;784;5549;
1665;872;651;
1666;759;5843;
1667;117;1292;
1668;16;395;
1669;870;4377;
1670;704;2031;
1671;922;5057;
1672;277;1700;
1673;775;7748;
1674;574;5751;
1675;317;7686;
1676;927;7765;
1677;72;7391;
1678;276;6423;
1679;484;2818;
1680;190;2984;
1681;579;1032;
1682;172;6452;
1683;994;184;
