value1;value2;value3;
241;30;4045;
242;777;9726;
243;560;2300;
244;532;6834;
245;689;1256;
246;833;2009;
247;123;77;
248;410;1512;
249;165;831;
250;255;7380;
251;277;7919;
252;671;3324;
253;558;282;
254;354;6688;
255;650;3358;
256;866;524;
257;592;8265;
258;863;5861;
259;878;9728;
260;873;5262;
261;514;8264;
262;64;6247;
263;250;6213;
264;240;8675;
265;300;6205;
266;305;5893;
267;575;8680;
268;330;7527;
269;664;8375;
270;989;9414;
271;745;3997;
272;470;8013;
273;531;8558;
274;261;3484;
275;397;6595;
276;843;6404;
277;469;7031;
278;233;770;
279;770;4050;
280;867;5222;
281;116;4287;
282;924;6880;
283;427;9643;
284;243;9238;
285;933;5309;
286;67;3587;
287;52;988;
288;873;2943;
289;11;3362;
290;958;3143;
291;896;7259;
292;540;3801;
293;901;7801;
294;462;3967;
295;937;5464;
296;855;565;
297;380;6921;
298;541;4360;
299;263;4765;
300;910;6253;
301;529;3040;
302;272;7116;
303;191;7087;
304;351;263;
305;755;5591;
306;199;6298;
307;125;5692;
308;834;4337;
309;583;3730;
310;659;2320;
311;225;5052;
312;241;8131;
313;957;2719;
314;839;2419;
315;334;7425;
316;584;274;
317;338;9091;
318;648;9395;
319;942;1705;
320;821;697;
321;88;1810;
322;900;5066;
323;607;7304;
324;169;4687;
325;326;5990;
326;86;9339;
327;368;1825;
328;756;7685;
329;966;8644;
330;568;8420;
331;676;3548;
332;892;7431;
333;529;9068;
334;358;6750;
335;205;782;
336;30;5720;
337;581;7287;
338;913;5242;
339;321;1718;
340;755;6984;
341;959;6633;
342;393;195;
343;937;6427;
344;964;3887;
345;969;5006;
346;418;2864;
347;204;4001;
348;422;7872;
349;644;3502;
350;832;9088;
351;848;4979;
352;39;5097;
353;558;5370;
354;778;2157;
355;969;1943;
356;358;7711;
357;909;5630;
358;570;8620;
359;615;6639;
360;782;9268;
361;2;2719;
362;938;2297;
363;124;4324;
364;851;5155;
365;599;9660;
366;944;3245;
367;211;1531;
368;290;9872;
369;449;8159;
370;450;2393;
371;570;8289;
372;813;1226;
373;205;6619;
374;762;9386;
375;96;2048;
376;149;8857;
377;654;1149;
378;164;4405;
379;415;9018;
380;29;1858;
381;669;2156;
382;826;7545;
383;610;9962;
384;397;6848;
385;455;4202;
386;334;5874;
387;704;440;
388;548;5690;
389;27;2354;
390;176;4929;
391;591;5123;
392;309;9218;
393;137;3754;
394;875;6022;
395;521;7878;
396;323;546;
397;939;7696;
398;252;8457;
399;905;7685;
400;796;7582;
401;319;3023;
402;290;9914;
403;159;3311;
404;488;4454;
405;786;8744;
406;623;4854;
407;207;1579;
408;962;82;
409;486;7019;
410;740;6162;
411;638;7708;
412;846;3654;
413;484;397;
414;512;3999;
415;493;4047;
416;889;877;
417;394;1137;
418;538;3782;
419;498;2970;
420;900;5376;
421;294;7778;
422;906;7691;
423;534;7965;
424;489;398;
425;625;5300;
426;507;1020;
427;441;6081;
428;771;6835;
429;373;7592;
430;524;4657;
431;232;3453;
432;826;7779;
433;767;5846;
434;889;8859;
435;279;1742;
436;980;61;
437;221;5378;
438;270;3782;
439;199;4891;
440;213;5082;
441;855;9081;
442;604;3049;
443;416;8713;
444;367;412;
445;937;6195;
446;554;7394;
447;151;3154;
448;818;194;
449;200;512;
450;877;124;
451;721;4318;
452;437;6576;
453;576;9917;
454;511;1226;
455;822;6668;
456;346;9017;
457;444;7262;
458;139;251;
459;326;3351;
460;101;1591;
461;29;9699;
462;694;8118;
463;511;8355;
464;221;3774;
465;361;1269;
466;912;3373;
467;900;4814;
468;402;190;
469;141;1191;
470;264;7675;
471;167;97;
472;957;2576;
473;107;967;
474;195;5895;
475;175;9167;
476;650;3702;
477;437;3708;
478;310;2657;
479;922;9283;
480;848;6188;
481;367;7911;
482;343;930;
483;988;3075;
484;399;2187;
485;736;4516;
486;959;4125;
487;518;8865;
488;968;1682;
489;73;9751;
490;474;6562;
491;479;1717;
492;801;9981;
493;636;7633;
494;116;8071;
495;422;2870;
496;294;4368;
497;877;8923;
498;837;7679;
499;901;8272;
500;936;3051;
501;260;4471;
502;646;9141;
503;606;2493;
504;257;2229;
505;313;3668;
506;98;6143;
507;266;3406;
508;22;8977;
509;702;1416;
510;533;589;
511;725;3569;
512;779;6078;
513;456;9877;
514;608;8296;
515;811;7162;
516;562;5489;
517;230;7286;
518;330;9669;
519;765;3595;
520;948;7019;
521;728;561;
522;7;5474;
523;685;6814;
524;869;9766;
525;616;2740;
526;245;8469;
527;420;4311;
528;300;8697;
529;316;3129;
530;778;2098;
531;11;1524;
532;24;5601;
533;601;9348;
534;991;4051;
535;686;9822;
536;859;4488;
537;721;8401;
538;759;1439;
539;98;6232;
540;763;7984;
541;22;6696;
542;104;549;
543;768;9308;
544;771;2326;
545;436;9131;
546;832;2736;
547;287;2963;
548;118;7409;
549;330;9764;
550;160;8914;
551;461;5739;
552;44;3601;
553;617;3545;
554;20;9946;
555;734;2064;
556;602;850;
557;619;1354;
558;353;9712;
559;899;1589;
560;470;6456;
561;828;5391;
562;205;918;
563;764;5946;
564;584;931;
565;700;7163;
566;267;1910;
567;302;8581;
568;178;394;
569;115;1454;
570;123;264;
571;117;3434;
572;345;993;
573;827;4828;
574;845;7578;
575;275;9542;
576;833;1909;
577;657;3400;
578;311;9272;
579;622;4557;
580;819;5644;
581;780;670;
582;810;7395;
583;822;5825;
584;690;8935;
585;756;3330;
586;960;1339;
587;515;1900;
588;233;6689;
589;379;1091;
590;632;3992;
591;723;1025;
592;718;9038;
593;615;6860;
594;0;3882;
595;673;1265;
596;322;2767;
597;254;5935;
598;842;6190;
599;879;2866;
600;799;3115;
601;439;6986;
602;527;4889;
603;61;6887;
604;880;7253;
605;479;3507;
606;494;9612;
607;366;1901;
608;979;6618;
609;505;7869;
610;869;1616;
611;946;7385;
612;330;9281;
613;308;9939;
614;630;41;
615;286;8988;
616;941;27;
617;641;1866;
618;388;2357;
619;477;1425;
620;945;9314;
621;130;9936;
622;435;7900;
623;858;4827;
624;139;6171;
625;28;4417;
626;298;5887;
627;363;5689;
628;589;5494;
629;493;6254;
630;924;7466;
631;839;7908;
632;344;7818;
633;870;2757;
634;154;3235;
635;56;9597;
636;536;2827;
637;961;8270;
638;282;1018;
639;314;721;
640;491;8742;
641;715;2186;
642;923;6441;
643;305;4710;
644;193;6913;
645;811;7316;
646;158;4292;
647;446;4845;
648;101;5133;
649;649;9553;
650;998;3479;
651;74;2400;
652;337;1621;
653;639;8945;
654;848;8780;
655;145;3186;
656;486;6174;
657;587;8605;
658;307;292;
659;152;8708;
660;809;9671;
661;66;9865;
662;505;1931;
663;991;3580;
664;742;5976;
665;374;6641;
666;52;5414;
667;752;9917;
668;865;7332;
669;193;2477;
670;489;7045;
671;949;1011;
672;304;7656;
673;791;2030;
674;696;3027;
675;413;405;
676;714;9436;
677;576;2801;
678;513;4947;
679;239;3684;
680;498;3454;
681;178;7273;
682;447;3138;
683;116;5544;
684;563;3276;
685;682;7622;
686;817;7274;
687;49;1879;
688;957;2536;
689;316;7890;
690;443;5850;
691;74;208;
692;406;9283;
693;182;7391;
694;457;4464;
695;176;9625;
696;570;5172;
697;665;2284;
698;877;3889;
699;300;3830;
700;748;6304;
701;255;9967;
702;91;2829;
703;985;5091;
704;737;2866;
705;797;1594;
706;811;4765;
707;709;886;
708;155;6465;
709;346;7065;
710;359;6407;
711;695;7216;
712;284;5870;
713;118;6495;
714;384;6918;
715;146;3882;
716;22;3061;
717;76;2094;
718;188;1843;
719;305;4426;
720;737;3289;
721;231;3005;
722;267;81;
723;336;6989;
724;461;9081;
725;720;5089;
726;117;1802;
727;417;9228;
728;603;8880;
729;118;2039;
730;325;9013;
731;548;5577;
732;431;4350;
733;819;517;
734;544;6017;
735;356;4736;
736;360;4177;
737;654;7790;
738;94;2520;
739;689;2425;
740;334;7185;
741;75;1836;
742;776;6639;
743;200;7538;
744;683;6589;
745;980;1382;
746;207;8610;
747;796;8630;
748;323;2016;
749;211;3257;
750;603;4090;
751;144;1386;
752;667;9408;
753;501;7505;
754;737;9784;
755;402;6412;
756;924;11;
757;144;7103;
758;795;8249;
759;746;661;
760;577;793;
761;661;3505;
762;700;1009;
763;904;7174;
764;708;5695;
765;902;671;
766;961;7602;
767;664;6940;
768;949;5624;
769;752;7385;
770;520;8772;
771;89;3965;
772;346;5883;
773;458;9436;
774;452;3004;
775;881;9705;
776;23;9226;
777;780;4364;
778;926;2183;
779;402;8012;
780;744;7614;
781;912;5833;
782;181;3213;
783;712;6232;
784;954;6014;
785;756;7580;
786;31;3536;
787;40;1085;
788;933;3782;
789;86;7688;
790;893;3372;
791;587;8899;
792;860;4674;
793;814;9691;
794;874;8279;
795;704;860;
796;538;914;
797;414;4668;
798;308;9071;
799;636;3284;
800;766;2997;
801;725;4796;
802;601;6448;
803;981;4498;
804;744;160;
805;919;9575;
806;731;1693;
807;578;5222;
808;105;4869;
809;998;2770;
810;740;68;
811;237;4971;
812;782;8719;
813;556;4684;
814;178;5037;
815;280;3764;
816;613;5298;
817;726;6318;
818;324;377;
819;227;4336;
820;903;2957;
821;546;7997;
822;290;6020;
823;348;4631;
824;204;8617;
825;105;9268;
826;32;7556;
827;252;444;
828;881;3896;
829;149;9805;
830;115;2361;
831;152;1178;
832;756;409;
833;235;2807;
834;810;6781;
835;301;9465;
836;678;5456;
837;210;8830;
838;277;2676;
839;819;9145;
840;408;6336;
841;338;5287;
842;73;9658;
843;947;3219;
844;734;4290;
845;342;8402;
846;794;57;
847;24;4973;
848;766;8605;
849;186;5225;
850;727;5890;
851;665;9428;
852;369;8158;
853;596;7421;
854;874;3713;
855;981;4992;
856;73;4014;
857;286;8558;
858;452;3099;
859;365;9221;
860;313;401;
861;802;5537;
862;548;1536;
863;885;2350;
864;296;595;
865;980;8665;
866;785;4427;
867;602;9954;
868;605;5082;
869;924;9264;
870;595;15;
871;612;9041;
872;931;761;
873;456;6764;
874;277;2601;
875;206;8662;
876;710;8408;
877;590;5693;
878;6;7938;
879;417;115;
880;252;3070;
881;951;2187;
882;546;8252;
883;164;4153;
884;613;5386;
885;644;1257;
886;165;5778;
887;750;2512;
888;627;4355;
889;517;7126;
890;24;2314;
891;473;2200;
892;978;7660;
893;133;4313;
894;945;7267;
895;89;4016;
896;208;4244;
897;191;6498;
898;639;3497;
899;811;4573;
900;254;4815;
901;619;670;
902;868;1342;
903;838;1215;
904;284;2976;
905;657;9329;
906;897;2992;
907;676;5377;
908;512;7969;
909;948;2538;
910;956;1032;
911;937;6216;
912;288;935;
913;7;8468;
914;444;2486;
915;386;929;
916;970;8832;
917;427;3873;
918;259;2808;
919;320;4020;
920;987;2358;
921;167;4431;
922;19;6769;
923;810;2197;
924;621;4890;
925;814;8853;
926;953;1283;
927;365;1087;
928;46;9291;
929;220;772;
930;285;6392;
931;567;4121;
932;503;3807;
933;217;6423;
934;359;4594;
935;327;3251;
936;698;2630;
937;36;1589;
938;843;6736;
939;951;2519;
940;651;476;
941;696;412;
942;205;2458;
943;882;2906;
944;720;7062;
945;729;261;
946;878;5505;
947;53;506;
948;873;9889;
949;96;9140;
950;92;8786;
951;993;9663;
952;223;8839;
953;763;2647;
954;261;2354;
955;631;5771;
956;824;1883;
957;709;8452;
958;404;1728;
959;442;924;
960;281;7609;
961;219;9581;
962;914;2471;
963;640;7047;
964;178;57;
965;892;7549;
966;374;1067;
967;321;3004;
968;182;5739;
969;296;3465;
970;189;1561;
971;174;9414;
972;159;1802;
973;538;8913;
974;2;2393;
975;898;1753;
976;509;4667;
977;134;7502;
978;678;4077;
979;516;6596;
980;152;5436;
981;274;3539;
982;97;4257;
983;275;5391;
984;209;6135;
985;320;7839;
986;486;3050;
987;464;1019;
988;165;4990;
989;306;9847;
990;115;9433;
991;999;70;
992;57;1534;
993;493;8045;
994;502;3303;
995;605;3238;
996;102;6798;
997;238;4045;
998;888;4920;
999;131;2027;
